10OneQuietMoment.mp3
true
Glad - One Quiet Moment
Glad
0	1,2,3,4,5,6,7,8		 [VERSE 01]
262461	2,6	1,5	 [VERSE 02]
262643	3,7	2,6	 [VERSE 02]
262908	4	3,7	 [VERSE 02]
263523	1,5	2,3,4,6,7,8	 [VERSE 02]
264475	2,6	1,5	 [VERSE 02]
264795	3,7	2,6	 [VERSE 02]
265515	4	3,7	 [VERSE 02]
270115	1,5	2,3,4,6,7,8	 [VERSE 02]
270348	2,6	1,5	 [VERSE 02]
270643	3,7	2,6	 [VERSE 02]
271203	4	3,7	 [VERSE 02]
272261	1,5	2,3,4,6,7,8	 [VERSE 02]
272620	2,6	1,5	 [VERSE 02]
273275	3,7	2,6	 [VERSE 02]
278531	4	3,7	 [VERSE 02]
282316	1,5	2,3,4,6,7,8	 [VERSE 02]
285516	2,6	1,5	 [VERSE 02]
286323	3,7	2,6	 [VERSE 02]
287108	4	3,7	 [VERSE 02]
290371	1,5	2,3,4,6,7,8	 [BRIDGE]
290611	2,6	1,5	 [BRIDGE]
290964	3,7	2,6	 [BRIDGE]
291596	4	3,7	 [BRIDGE]
292340	1,5	2,3,4,6,7,8	 [BRIDGE]
292756	2,6	1,5	 [BRIDGE]
293179	3,7	2,6	 [BRIDGE]
294179	4	3,7	 [BRIDGE]
295852	1,2,3,4,5,6,7,8		 [BRIDGE]
304044	1,2,3,4,5,6,7,8		[END]
