Wizards.mp3
true
Trans Siberian Orchestra - Wizards of Winter
Classic
72243	1,7	2,3,4,5,6,8	 [VERSE 01]
72419	2,6		 [VERSE 01]
72573	3,5	1,7	 [VERSE 01]
72762	4	2,6	 [VERSE 01]
72982	1,7	2,3,4,5,6,8	 [VERSE 01]
73150	2,6,8		 [VERSE 01] Mini Riff
73240		8	Mini Riff
73782	3,5,8	1,7	 [VERSE 01] Mini Riff
73872		8	Mini Riff
73981	4,8	2,6	 [VERSE 01] Mini Riff
74071		8	Mini Riff
74558	1,7,8	2,3,4,5,6	 [VERSE 01] Mini Riff
74648		8	Mini Riff
74780	2,6,8		 [VERSE 01] Mini Riff
74870		8	Mini Riff
75231	3,5,8	1,7	 [VERSE 01] Mini Riff
75321		8	Mini Riff
75614	4,8	2,6	 [VERSE 01] Mini Riff
75704		8	Mini Riff
76039	1,7,8	2,3,4,5,6	Mini Riff
76129		8	Mini Riff
76471	1,2	7	 [BRIDGE]
76581	3,4	1,2	
76691	5,6	3,4	
76893	7	5,6	 [BRIDGE]
77003	5,6	7	
77113	3,4	5,6	
77283	1,2	3,4	 [BRIDGE]
77393	3,4	1,2	
77503	5,6	3,4	
77673	7	5,6	 [BRIDGE]
77783	5,6	7	
77893	3,4	5,6	
78082	1,2	3,4	 [BRIDGE]
78192	3,4	1,2	
78302	5,6	3,4	
78493	7	5,6	 [BRIDGE]
78603	5,6	7	
78713	3,4	5,6	
78870	1,2	3,4	 [BRIDGE]
78980	3,4	1,2	
79090	5,6	3,4	
79262	7	5,6	 [BRIDGE]
79372	5,6	7	
79482	3,4	5,6	
79682	1,2	3,4	 [BRIDGE]
79792	3,4	1,2	
79902	5,6	3,4	
80083	7	5,6	 [BRIDGE]
80193	5,6	7	
80303	3,4	5,6	
80507	1,2	3,4	 [BRIDGE]
80617	3,4	1,2	
80727	5,6	3,4	
80911	7	5,6	 [BRIDGE]
81021	5,6	7	
81131	3,4	5,6	
81282	1,2	3,4	 [BRIDGE]
81589	7	1,2,3,4,5,6,8	 [VERSE 02]
81773	6		 [VERSE 02]
81950	5		 [VERSE 02]
82164	4	7	 [VERSE 02]
82350	3	6	 [VERSE 02]
82513	2	5	 [VERSE 02]
82628	1	4	 [VERSE 02]
82966	1,2	3	 [BRIDGE]
83076	3,4	1,2	
83186	5,6	3,4	
83349	7	5,6	 [BRIDGE]
